,State,District,Latitude,Longitude,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Cluster
0,ANDHRA PRADESH,ADILABAD,19.284513950073435,78.81321233480176,2001,50,30,16,149,34,175,0,1
1,ANDHRA PRADESH,ADILABAD,19.284513950073435,78.81321233480176,2002,37,32,20,174,63,240,0,1
2,ANDHRA PRADESH,ADILABAD,19.284513950073435,78.81321233480176,2003,35,16,11,141,39,238,0,1
3,ANDHRA PRADESH,ADILABAD,19.284513950073435,78.81321233480176,2004,50,42,14,135,71,296,0,1
4,ANDHRA PRADESH,ADILABAD,19.284513950073435,78.81321233480176,2005,53,46,21,144,77,280,0,1
5,ANDHRA PRADESH,ADILABAD,19.284513950073435,78.81321233480176,2006,64,71,22,185,107,423,0,4
6,ANDHRA PRADESH,ADILABAD,19.284513950073435,78.81321233480176,2007,46,72,21,156,133,335,0,4
7,ANDHRA PRADESH,ADILABAD,19.284513950073435,78.81321233480176,2008,50,26,5,174,103,355,0,1
8,ANDHRA PRADESH,ADILABAD,19.284513950073435,78.81321233480176,2009,67,56,13,192,163,428,0,4
9,ANDHRA PRADESH,ADILABAD,19.284513950073435,78.81321233480176,2010,48,48,18,133,155,429,0,4
10,ANDHRA PRADESH,ADILABAD,19.284513950073435,78.81321233480176,2011,84,70,20,112,142,429,0,4
11,ANDHRA PRADESH,ADILABAD,19.284513950073435,78.81321233480176,2012,88,61,7,90,155,498,0,4
12,ANDHRA PRADESH,ANANTAPUR,14.312065561843148,77.4601584478577,2001,23,30,7,118,24,154,0,1
13,ANDHRA PRADESH,ANANTAPUR,14.312065561843148,77.4601584478577,2002,28,49,9,179,37,151,0,1
14,ANDHRA PRADESH,ANANTAPUR,14.312065561843148,77.4601584478577,2003,19,45,4,224,45,146,0,1
15,ANDHRA PRADESH,ANANTAPUR,14.312065561843148,77.4601584478577,2004,20,31,11,196,50,147,0,1
16,ANDHRA PRADESH,ANANTAPUR,14.312065561843148,77.4601584478577,2005,16,30,12,173,57,137,0,1
17,ANDHRA PRADESH,ANANTAPUR,14.312065561843148,77.4601584478577,2006,16,32,16,187,11,189,0,1
18,ANDHRA PRADESH,ANANTAPUR,14.312065561843148,77.4601584478577,2007,31,35,14,176,194,0,0,4
19,ANDHRA PRADESH,ANANTAPUR,14.312065561843148,77.4601584478577,2008,37,36,12,133,132,0,0,1
20,ANDHRA PRADESH,ANANTAPUR,14.312065561843148,77.4601584478577,2009,22,60,14,157,13,143,0,1
21,ANDHRA PRADESH,ANANTAPUR,14.312065561843148,77.4601584478577,2010,20,60,20,132,35,250,0,1
22,ANDHRA PRADESH,ANANTAPUR,14.312065561843148,77.4601584478577,2011,16,83,36,156,16,198,0,3
23,ANDHRA PRADESH,ANANTAPUR,14.312065561843148,77.4601584478577,2012,18,63,19,195,8,130,0,1
24,ANDHRA PRADESH,CHITTOOR,13.33109263067696,78.92763898886037,2001,27,34,14,112,83,186,0,1
25,ANDHRA PRADESH,CHITTOOR,13.33109263067696,78.92763898886037,2002,28,39,16,126,40,188,0,1
26,ANDHRA PRADESH,CHITTOOR,13.33109263067696,78.92763898886037,2003,36,34,23,121,173,60,0,4
27,ANDHRA PRADESH,CHITTOOR,13.33109263067696,78.92763898886037,2004,28,27,22,116,197,234,0,4
28,ANDHRA PRADESH,CHITTOOR,13.33109263067696,78.92763898886037,2005,35,58,9,91,223,202,0,4
29,ANDHRA PRADESH,CHITTOOR,13.33109263067696,78.92763898886037,2006,31,37,18,123,190,249,0,4
30,ANDHRA PRADESH,CHITTOOR,13.33109263067696,78.92763898886037,2007,31,47,25,118,197,395,0,4
31,ANDHRA PRADESH,CHITTOOR,13.33109263067696,78.92763898886037,2008,30,57,26,104,250,288,0,4
32,ANDHRA PRADESH,CHITTOOR,13.33109263067696,78.92763898886037,2009,33,46,19,120,268,333,0,4
33,ANDHRA PRADESH,CHITTOOR,13.33109263067696,78.92763898886037,2010,44,56,32,136,121,388,0,4
34,ANDHRA PRADESH,CHITTOOR,13.33109263067696,78.92763898886037,2011,17,47,25,124,168,421,0,4
35,ANDHRA PRADESH,CHITTOOR,13.33109263067696,78.92763898886037,2012,28,49,33,90,269,339,0,4
36,ANDHRA PRADESH,CUDDAPAH,14.490289134125629,78.69613870967754,2001,20,20,17,126,38,57,0,0
37,ANDHRA PRADESH,CUDDAPAH,14.490289134125629,78.69613870967754,2002,16,22,21,100,36,63,0,0
38,ANDHRA PRADESH,CUDDAPAH,14.490289134125629,78.69613870967754,2003,10,28,5,104,31,60,0,0
39,ANDHRA PRADESH,CUDDAPAH,14.490289134125629,78.69613870967754,2004,14,31,7,118,49,120,0,0
40,ANDHRA PRADESH,CUDDAPAH,14.490289134125629,78.69613870967754,2005,21,31,7,116,18,95,0,0
41,ANDHRA PRADESH,CUDDAPAH,14.490289134125629,78.69613870967754,2006,25,51,10,130,84,199,0,1
42,ANDHRA PRADESH,CUDDAPAH,14.490289134125629,78.69613870967754,2007,32,68,8,139,94,242,0,1
43,ANDHRA PRADESH,CUDDAPAH,14.490289134125629,78.69613870967754,2008,27,64,11,212,37,267,0,1
44,ANDHRA PRADESH,CUDDAPAH,14.490289134125629,78.69613870967754,2009,27,47,17,165,52,124,0,1
45,ANDHRA PRADESH,CUDDAPAH,14.490289134125629,78.69613870967754,2010,39,51,15,137,45,321,0,1
46,ANDHRA PRADESH,CUDDAPAH,14.490289134125629,78.69613870967754,2011,41,65,15,144,17,122,0,1
47,ANDHRA PRADESH,CUDDAPAH,14.490289134125629,78.69613870967754,2012,26,44,13,217,37,120,0,1
48,ANDHRA PRADESH,EAST GODAVARI,16.782718320784902,82.2432074720511,2001,23,26,12,109,58,247,0,1
49,ANDHRA PRADESH,EAST GODAVARI,16.782718320784902,82.2432074720511,2002,25,5,11,108,73,276,0,1
50,ANDHRA PRADESH,EAST GODAVARI,16.782718320784902,82.2432074720511,2003,18,35,11,150,110,357,0,4
51,ANDHRA PRADESH,EAST GODAVARI,16.782718320784902,82.2432074720511,2004,31,23,13,112,105,293,0,1
52,ANDHRA PRADESH,EAST GODAVARI,16.782718320784902,82.2432074720511,2005,27,3,15,102,119,368,0,1
53,ANDHRA PRADESH,EAST GODAVARI,16.782718320784902,82.2432074720511,2006,41,28,25,173,107,465,0,4
54,ANDHRA PRADESH,EAST GODAVARI,16.782718320784902,82.2432074720511,2007,30,64,19,159,131,561,0,4
55,ANDHRA PRADESH,EAST GODAVARI,16.782718320784902,82.2432074720511,2008,48,13,23,194,131,563,0,4
56,ANDHRA PRADESH,EAST GODAVARI,16.782718320784902,82.2432074720511,2009,47,60,23,196,178,440,0,4
57,ANDHRA PRADESH,EAST GODAVARI,16.782718320784902,82.2432074720511,2010,66,30,20,193,188,246,0,4
58,ANDHRA PRADESH,EAST GODAVARI,16.782718320784902,82.2432074720511,2011,72,51,17,176,224,575,0,4
59,ANDHRA PRADESH,EAST GODAVARI,16.782718320784902,82.2432074720511,2012,71,40,17,248,160,536,0,4
60,ANDHRA PRADESH,GUNTUR,15.884925767634847,80.58657614107885,2001,54,51,7,139,129,378,0,4
61,ANDHRA PRADESH,GUNTUR,15.884925767634847,80.58657614107885,2002,46,71,13,186,85,434,0,1
62,ANDHRA PRADESH,GUNTUR,15.884925767634847,80.58657614107885,2003,46,77,22,228,99,399,0,4
63,ANDHRA PRADESH,GUNTUR,15.884925767634847,80.58657614107885,2004,46,60,32,186,104,397,0,4
